register,address,name,bit7,bit6,bit5,bit4,bit3,bit2,bit1,bit0
0x00,0x20,PINA,PINA7,PINA6,PINA5,PINA4,PINA3,PINA2,PINA1,PINA0
0x01,0x21,DDRA,DDRA7,DDRA6,DDRA5,DDRA4,DDRA3,DDRA2,DDRA1,DDRA0
0x02,0x22,PORTA,PORTA7,PORTA6,PORTA5,PORTA4,PORTA3,PORTA2,PORTA1,PORTA0
0x03,0x23,PINB,PINB7,PINB6,PINB5,PINB4,PINB3,PINB2,PINB1,PINB0
0x04,0x24,DDRB,DDRB7,DDRB6,DDRB5,DDRB4,DDRB3,DDRB2,DDRB1,DDRB0
0x05,0x25,PORTB,PORTB7,PORTB6,PORTB5,PORTB4,PORTB3,PORTB2,PORTB1,PORTB0
0x06,0x26,PINC,PINC7,PINC6,PINC5,PINC4,PINC3,PINC2,PINC1,PINC0
0x07,0x27,DDRC,DDRC7,DDRC6,DDRC5,DDRC4,DDRC3,DDRC2,DDRC1,DDRC0
0x08,0x28,PORTC,PORTC7,PORTC6,PORTC5,PORTC4,PORTC3,PORTC2,PORTC1,PORTC0
0x09,0x29,PIND,PIND7,PIND6,PIND5,PIND4,PIND3,PIND2,PIND1,PIND0
0x0A,0x2A,DDRD,DDRD7,DDRD6,DDRD5,DDRD4,DDRD3,DDRD2,DDRD1,DDRD0
0x0B,0x2B,PORTD,PORTD7,PORTD6,PORTD5,PORTD4,PORTD3,PORTD2,PORTD1,PORTD0
